"source xml parent","source xml element","source attribute","destination table","destination column","mapping type","required_fk","notes"
request,request,id,app_base,app_id,identity insert,app_id,
provenir,request,status,app_operational_cc,status_enum,enum,app_id,see migration script
provenir,request,process,app_operational_cc,process_enum,enum,app_id,see migration script
provenir,request,LastUpdatedBy,app_operational_cc,last_updated_by,,app_id,
provenir,request,workflow,,,,,
request,custdata,,,,,,
custdata,application,app_receive_date,app_base,receive_date,,app_id,default getutcdate() if null
custdata,application,app_source_ind,app_base,app_source_enum,enum,app_id,see migration script
custdata,application,app_type_code,app_base,app_type_enum,enum,app_id,see migration script
custdata,application,assignedTo,app_operational_cc,assigned_to,,app_id,
custdata,application,coupon_expiration_date,,,,,moved to new campaign table
custdata,application,esign_consent_flag,contact_base,esign_consent_flag,,"app_id,con_id",
custdata,application,expinnumber,app_transactional_cc,ex_freeze_code,,app_id,
custdata,application,ip_address,app_base,ip_address,,app_id,
custdata,application,last_update_time,app_operational_cc,last_updated_date,,app_id,
custdata,application,mail_cell_pricing,app_pricing_cc,marketing_segment,,app_id,
custdata,application,paperless_flag,contact_base,paperless_flag,,"app_id,con_id",
custdata,application,partner_url_id,app_operational_cc,meta_url,,app_id,
custdata,application,population_assignment,app_pricing_cc,population_assignment_enum,,app_id,
custdata,application,pricing_tier,app_pricing_cc,pricing_tier,,app_id,
custdata,application,priority,app_operational_cc,priority_enum,enum,app_id,see migration script
custdata,application,processing_expiration_date,,,,,moved to new campaign table
custdata,application,secure_ach_amount,app_operational_cc,sc_ach_amount,,app_id,
custdata,application,signature_ind,app_operational_cc,signature_flag,,app_id,"convert to bit, see migration script"
custdata,application,sms_consent_flag,contact_base,sms_consent_flag,,"app_id,con_id",
custdata,application,solicitation_num,app_pricing_cc,solicitation_num,,app_id,
custdata,application,special_offer,app_pricing_cc,card_art_code,,app_id,
custdata,application,ssn_match_flag,app_operational_cc,ssn_match_type_enum,enum,app_id,see migration script
custdata,application,swiftpay_num,app_operational_cc,sc_funding_reference,,app_id,
custdata,application,updatedby,app_operational_cc,last_updated_by,,app_id,
custdata,application,verification_source,app_operational_cc,verification_source_enum,enum,app_id,see migration script
application,app_product,adverse_actn1_type_cd,app_operational_cc,cb_score_factor_code_1,,app_id,"score_factor_type needs to be derived, see migration script"
application,app_product,adverse_actn2_type_cd,app_operational_cc,cb_score_factor_code_2,,app_id,"score_factor_type needs to be derived, see migration script"
application,app_product,adverse_actn3_type_cd,app_operational_cc,cb_score_factor_code_3,,app_id,"score_factor_type needs to be derived, see migration script"
application,app_product,adverse_actn4_type_cd,app_operational_cc,cb_score_factor_code_4,,app_id,"score_factor_type needs to be derived, see migration script"
application,app_product,adverse_actn5_type_cd,app_operational_cc,cb_score_factor_code_5,,app_id,"score_factor_type needs to be derived, see migration script"
application,app_product,analyst_rev_ind,app_transactional_cc,analyst_review_flag,char to bit,app_id,"convert to bit, see migration script"
application,app_product,backend_fico_grade,app_operational_cc,backend_fico_grade,,app_id,
application,app_product,backend_risk_grade,app_operational_cc,backend_risk_grade,,app_id,
application,app_product,booked_date,app_base,booked_date,,app_id,
application,app_product,booking_paused,app_transactional_cc,booking_paused_flag,char to bit,app_id,"convert to bit, see migration script"
application,app_product,debt_to_income_ratio,app_pricing_cc,debt_to_income_ratio,,app_id,
application,app_product,decision_date,app_base,decision_date,,app_id,
application,app_product,decision_model,app_pricing_cc,decision_model_enum,enum,app_id,see migration script
application,app_product,decision_tp_c,app_base,decision_enum,enum,app_id,see migration script
application,app_product,disclosures,app_transactional_cc,disclosures_read_flag,char to bit,app_id,"convert to bit, see migration script"
application,app_product,duplicate_app_ind,app_transactional_cc,duplicate_ssn_flag,char to bit,app_id,"convert to bit, see migration script"
application,app_product,ex_die_score,,,,,convert to scores table
application,app_product,ex_evs_score,,,,,convert to history_lookup table
application,app_product,ex_fico_08_score,,,,,convert to history_lookup table
application,app_product,ex_tie_score,,,,,convert to scores table
application,app_product,experian_fico_score,,,,,convert to history_lookup table
application,app_product,fraud_rev_ind,app_transactional_cc,fraud_review_flag,,app_id,"convert to bit, see migration script"
application,app_product,giact_response,,,,,convert to report_results_lookup table
application,app_product,instantid_score,,,,,convert to report_results_lookup table
application,app_product,intrnl_fraud_address_ind,,,,,convert to indicators table
application,app_product,intrnl_fraud_ssn_ind,,,,,convert to indicators table
application,app_product,monthly_debt,app_pricing_cc,monthly_debt,,app_id,
application,app_product,monthly_income,app_pricing_cc,monthly_income,,app_id,
application,app_product,multran_booked_date,app_base,sc_multran_booked_date,,app_id,
application,app_product,pending_verif_ind,app_transactional_cc,pending_verification_flag,char to bit,app_id,"convert to bit, see migration script"
application,app_product,prescreen_fico_grade,app_solicited_cc,prescreen_fico_grade,,app_id,
application,app_product,prescreen_fico_score,,,,,convert to scores table
application,app_product,prescreen_risk_grade,app_solicited_cc,prescreen_risk_grade,,app_id,
application,app_product,prescreen_risk_score,,,,,convert to scores table
application,app_product,regb_end_date,app_operational_cc,regb_end_date,,app_id,
application,app_product,regb_start_date,app_operational_cc,regb_start_date,,app_id,
