xml_path,xml_attribute,target_table,target_column,mapping_type,expression
/Provenir/Request,ID,app_base,app_id,identity_insert,
/Provenir/Request,status,app_operational_rl,status_enum,enum,
/Provenir/Request,process,app_operational_rl,process_enum,enum,
/Provenir/Request,priority,app_operational_rl,priority_enum,enum,
/Provenir/Request,status,app_operational_rl,status_enum,enum,
/Provenir/Request,lastupdatedby,app_operational_rl,last_updated_by,,
/Provenir/Request/CustData/IL_application,add_ttl_to_amt_fin,app_pricing_rl,add_total_to_financed_flag,char_to_bit,
/Provenir/Request/CustData/IL_application,app_cash_down_payment,app_pricing_rl,cash_down_payment_amount,,
/Provenir/Request/CustData/IL_application,app_entry_date,app_base,receive_date,,
/Provenir/Request/CustData/IL_application,app_receive_date,app_operational_rl,regb_start_date,calculated_field,"CASE 
 WHEN app_entry_date IS NOT EMPTY THEN app_entry_date 
 ELSE app_receive_date 
END"
/Provenir/Request/CustData/IL_application,app_invoice_amount,app_pricing_rl,invoice_amount,,
/Provenir/Request/CustData/IL_application,app_sale_price,app_pricing_rl,selling_price,,
/Provenir/Request/CustData/IL_application,app_source_ind,app_base,app_source_enum,enum,
/Provenir/Request/CustData/IL_application,app_type_code,app_base,app_type_enum,enum,
/Provenir/Request/CustData/IL_application,assigned_analyst,app_operational_rl,assigned_credit_analyst,,
/Provenir/Request/CustData/IL_application,client_id,app_operational_rl,client_app_id,,
/Provenir/Request/CustData/IL_application,dlr_address_line1,app_dealer_rl,dealer_address_line_1,,
/Provenir/Request/CustData/IL_application,dlr_broker,app_dealer_rl,broker_flag,char_to_bit,
/Provenir/Request/CustData/IL_application,dlr_city,app_dealer_rl,dealer_city,,
/Provenir/Request/CustData/IL_application,dlr_email,app_dealer_rl,dealer_email,,
/Provenir/Request/CustData/IL_application,dlr_fax,app_dealer_rl,dealer_fax,,
/Provenir/Request/CustData/IL_application,dlr_name,app_dealer_rl,dealer_name,,
/Provenir/Request/CustData/IL_application,dlr_num_marine,app_dealer_rl,dealer_num_child,,"CASE 
 WHEN TRIM(dlr_num_marine) IS NOT EMPTY THEN TRIM(dlr_num_marine) 
 WHEN TRIM(dlr_num_rv) IS NOT EMPTY THEN TRIM(dlr_num_rv) 
 WHEN TRIM(dlr_num_or) IS NOT EMPTY THEN TRIM(dlr_num_or) 
 WHEN TRIM(dlr_num_ht) IS NOT EMPTY THEN TRIM(dlr_num_ht) 
 WHEN TRIM(dlr_num_trailer) IS NOT EMPTY THEN TRIM(dlr_num_trailer) 
 WHEN TRIM(dlr_num_mc) IS NOT EMPTY THEN TRIM(dlr_num_mc) 
 ELSE EMPTY 
END"
/Provenir/Request/CustData/IL_application,dlr_phone,app_dealer_rl,dealer_phone,numbers_only,
/Provenir/Request/CustData/IL_application,dlr_state,app_dealer_rl,dealer_state,,
/Provenir/Request/CustData/IL_application,dlr_zipcode,app_dealer_rl,dealer_zip,numbers_only,
/Provenir/Request/CustData/IL_application,duplicate_app_ind,app_transactional_rl,duplicate_app_flag,char_to_bit,
/Provenir/Request/CustData/IL_application,fsp_name,app_dealer_rl,fsp_name,,
/Provenir/Request/CustData/IL_application,fsp_phone,app_dealer_rl,fsp_phone,numbers_only,
/Provenir/Request/CustData/IL_application,individual_joint_app_ind,app_operational_rl,joint_app_flag,char_to_bit,
/Provenir/Request/CustData/IL_application,last_update_time,app_operational_rl,last_updated_date,,
/Provenir/Request/CustData/IL_application,loan_amount_requested,app_pricing_rl,loan_amount,,
/Provenir/Request/CustData/IL_application,loanpro_loan_id,app_funding_rl,loanpro_loan_id,,
/Provenir/Request/CustData/IL_application,mapr,app_pricing_rl,military_apr,,
/Provenir/Request/CustData/IL_application,opt_out_ind,,,,
/Provenir/Request/CustData/IL_application,parent_dealer_number,app_dealer_rl,dealer_num_parent,,
/Provenir/Request/CustData/IL_application,requested_term_months,app_pricing_rl,loan_term_months,,
/Provenir/Request/CustData/IL_application,sub_type_code,app_base,sub_type_enum,enum,
/Provenir/Request/CustData/IL_application,supervisor_rev_ind,app_transactional_rl,supervisor_review_flag,char_to_bit,
/Provenir/Request/CustData/IL_application,trade_allowance,app_pricing_rl,tradein_allowance,,
/Provenir/Request/CustData/IL_application,trade_net_tradein_amount,app_pricing_rl,tradein_down_payment_amount,,
/Provenir/Request/CustData/IL_application,trade_payoff_amount,app_pricing_rl,tradein_payoff_amount,,
/Provenir/Request/CustData/IL_application,updated_by,app_operational_rl,last_updated_by,,
/Provenir/Request/CustData/IL_application/Il_contact,con_id,contact_base,con_id,identity_insert,
/Provenir/Request/CustData/IL_application/Il_contact,ac_role_tp_c,contact_base,contact_type_enum,enum,
/Provenir/Request/CustData/IL_application/Il_contact,birth_date,contact_base,birth_date,,
/Provenir/Request/CustData/IL_application/Il_contact,cell_phone,contact_base,cell_phone,numbers_only,
/Provenir/Request/CustData/IL_application/Il_contact,email,contact_base,email,,
/Provenir/Request/CustData/IL_application/Il_contact,first_name,contact_base,first_name,,
/Provenir/Request/CustData/IL_application/Il_contact,home_phone,contact_base,home_phone,numbers_only,
/Provenir/Request/CustData/IL_application/Il_contact,last_name,contact_base,last_name,,
/Provenir/Request/CustData/IL_application/Il_contact,loanpro_customer_id,app_funding_rl,loanpro_customer_id_pr,contact-by-type-to-fixed-field,filtered by ac_role_tp_c=PR
/Provenir/Request/CustData/IL_application/Il_contact,loanpro_customer_id,app_funding_rl,loanpro_customer_id_sec,contact-by-type-to-fixed-field,filtered by ac_role_tp_c=SEC
/Provenir/Request/CustData/IL_application/Il_contact,middle_initial,contact_base,middle_initial,,
/Provenir/Request/CustData/IL_application/Il_contact,ssn,contact_base,ssn,,
/Provenir/Request/CustData/IL_application/Il_contact,suffix,contact_base,suffix,,
/Provenir/Request/CustData/IL_application/Il_contact/IL_address,address_type_code,contact_address,address_type_enum,enum,
/Provenir/Request/CustData/IL_application/Il_contact/IL_address,apartment_unit_number,contact_address,unit,,
